=== Table A: Top 30 words by label (combined corpus) ===

Unfiltered:
  Fake articles (n=355180 tokens)
      11  duterte           1870   0.40
      12  yung              1790   0.38
      13  noong             1713   0.36
      14  gma               1688   0.36
      15  news              1649   0.35
      16  suspek            1612   0.34
      17  nitong            1578   0.33
      18  ilang             1432   0.30
      19  sinabi            1418   0.30
      20  matapos           1367   0.29
      21  city              1331   0.28
      22  manila            1205   0.25
      23  biktima           1199   0.25
      24  video             1142   0.24
      25  pilipinas         1131   0.24
      26  natin             1092   0.23
      27  ulat              1090   0.23
      28  source            1083   0.23
      29  wala              1060   0.22
      30  police            1050   0.22
    Note: flagged manuscript terms in top 30: gma, source

=== Table B: Top 30 words by dataset ===

Unfiltered:
  Cruz articles (n=586900 tokens)
    Rank  Word            Count   %
       1  sa               31942   5.44
       2  ng               27057   4.61
       3  ang              24787   4.22
       4  na               22796   3.88
       5  mga              11089   1.89
       6  at                9398   1.60
       7  ni                8694   1.48
       8  ay                5385   0.92
       9  si                5269   0.90
      10  the               5049   0.86
      11  of                3568   0.61
      12  hindi             3158   0.54
      13  ito               3123   0.53
      14  and               2714   0.46
      15  to                2599   0.44
      16  pa                2564   0.44
      17  para              2515   0.43
      18  isang             2513   0.43
      19  naman             2478   0.42
      20  kay               2226   0.38
      21  kung              2206   0.38
      22  may               2167   0.37
      23  dahil             1878   0.32
      24  sabi              1767   0.30
      25  niya              1746   0.30
      26  ayon              1733   0.30
      27  kanyang           1667   0.28
      28  lang              1655   0.28
      29  duterte           1603   0.27
      30  daw               1571   0.27
  Lupac articles (n=573735 tokens)
    Rank  Word            Count   %
       1  sa               33155   5.78
       2  ng               28538   4.97
       3  na               25235   4.40
       4  ang              24925   4.34
       5  mga              10093   1.76
       6  at                9336   1.63
       7  ni                6511   1.13
       8  si                4523   0.79
       9  ay                4093   0.71
      10  the               3782   0.66
      11  isang             3489   0.61
      12  hindi             3229   0.56
      13  of                3209   0.56
      14  para              2701   0.47
      15  pa                2640   0.46
      16  and               2589   0.45
      17  may               2435   0.42
      18  niya              2365   0.41
      19  ito               2249   0.39
      20  to                2129   0.37
      21  naman             2115   0.37
      22  dahil             1978   0.34
      23  kung              1862   0.32
      24  noong             1845   0.32
      25  ayon              1821   0.32
      26  siya              1776   0.31
      27  nang              1730   0.30
      28  sinabi            1611   0.28
      29  rin               1589   0.28
      30  kay               1525   0.27
  Combined articles (n=1160635 tokens)
    Rank  Word            Count   %
       1  sa               65097   5.61
       2  ng               55595   4.79
       3  ang              49712   4.28
       4  na               48031   4.14
       5  mga              21182   1.83
       6  at               18734   1.61
       7  ni               15205   1.31
       8  si                9792   0.84
       9  ay                9478   0.82
      10  the               8831   0.76
      11  of                6777   0.58
      12  hindi             6387   0.55
      13  isang             6002   0.52
      14  ito               5372   0.46
      15  and               5303   0.46
      16  para              5216   0.45
      17  pa                5204   0.45
      18  to                4728   0.41
      19  may               4602   0.40
      20  naman             4593   0.40
      21  niya              4111   0.35
      22  kung              4068   0.35
      23  dahil             3856   0.33
      24  kay               3751   0.32
      25  ayon              3554   0.31
      26  noong             3386   0.29
      27  kanyang           3154   0.27
      28  siya              3147   0.27
      29  lang              3119   0.27
      30  nang              2979   0.26

Content words only:
  Cruz articles (n=342404 content tokens; removed 244496 stop-word tokens from 586900)
    Rank  Word            Count   %
       1  si                5269   1.54
       2  naman             2478   0.72
       3  kay               2226   0.65
       4  ayon              1733   0.51
       5  lang              1655   0.48
       6  duterte           1603   0.47
       7  daw               1571   0.46
       8  noong             1541   0.45
       9  rin               1280   0.37
      10  nang              1249   0.36
      11  ilang             1113   0.33
      12  source            1062   0.31
      13  yung              1055   0.31
      14  umano             1001   0.29
      15  video              959   0.28
      16  sinabi             950   0.28
      17  po                 895   0.26
      18  natin              885   0.26
      19  pilipinas          885   0.26
      20  matapos            878   0.26
      21  pangulong          870   0.25
      22  miss               856   0.25
      23  city               831   0.24
      24  media              764   0.22
      25  catriona           740   0.22
      26  manila             705   0.21
      27  wala               690   0.20
      28  mo                 688   0.20
      29  pangulo            655   0.19
      30  pahayag            642   0.19
    Note: flagged manuscript terms in top 30: source
  Lupac articles (n=337019 content tokens; removed 236716 stop-word tokens from 573735)
    Rank  Word            Count   %
       1  si                4523   1.34
       2  naman             2115   0.63
       3  noong             1845   0.55
       4  ayon              1821   0.54
       5  nang              1730   0.51
       6  sinabi            1611   0.48
       7  rin               1589   0.47
       8  kay               1525   0.45
       9  lang              1464   0.43
      10  nitong            1454   0.43
      11  po                1440   0.43
      12  news              1420   0.42
      13  gma               1404   0.42
      14  umano             1278   0.38
      15  suspek            1254   0.37
      16  marcos            1189   0.35
      17  yung              1148   0.34
      18  city              1035   0.31
      19  matapos           1031   0.31
      20  biktima            925   0.27
      21  kaniyang           909   0.27
      22  wala               802   0.24
      23  manila             775   0.23
      24  ulat               771   0.23
      25  duterte            752   0.22
      26  pang               742   0.22
      27  nasa               736   0.22
      28  police             717   0.21
      29  pilipinas          715   0.21
      30  daw                703   0.21
    Note: flagged manuscript terms in top 30: gma
  Combined articles (n=679423 content tokens; removed 481212 stop-word tokens from 1160635)
    Rank  Word            Count   %
       1  si                9792   1.44
       2  naman             4593   0.68
       3  kay               3751   0.55
       4  ayon              3554   0.52
       5  noong             3386   0.50
       6  lang              3119   0.46
       7  nang              2979   0.44
       8  rin               2869   0.42
       9  sinabi            2561   0.38
      10  duterte           2355   0.35
      11  po                2335   0.34
      12  umano             2279   0.34
      13  daw               2274   0.33
      14  yung              2203   0.32
      15  matapos           1909   0.28
      16  nitong            1900   0.28
      17  city              1866   0.27
      18  news              1792   0.26
      19  suspek            1765   0.26
      20  ilang             1759   0.26
      21  gma               1753   0.26
      22  pilipinas         1600   0.24
      23  video             1533   0.23
      24  wala              1492   0.22
      25  manila            1480   0.22
      26  pangulong         1420   0.21
      27  biktima           1367   0.20
      28  pang              1333   0.20
      29  natin             1331   0.20
      30  pahayag           1317   0.19
    Note: flagged manuscript terms in top 30: gma
